ticker,entry_date,entry_price,exit_date,exit_price,qty,cost,proceeds,pnl,reason,target,stop_loss
GAIL.NS,2024-05-17,188.03,2024-09-06,213.47,185,34785.55,39491.95,4706.399999999994,STOP_LOSS,243.0,215.11
LT.NS,2024-07-05,3530.47,2024-09-06,3541.72,7,24713.289999999997,24792.039999999997,78.75,STOP_LOSS,3772.51,3593.85
COALINDIA.NS,2024-07-05,429.3,2024-09-06,439.57,60,25758.0,26374.2,616.2000000000007,STOP_LOSS,512.27,464.25
ONGC.NS,2024-07-05,260.2,2024-09-06,286.95,99,25759.8,28408.05,2648.25,STOP_LOSS,329.77,287.75
CIPLA.NS,2024-07-12,1459.64,2024-09-06,1594.02,14,20434.960000000003,22316.28,1881.319999999996,STOP_LOSS,1694.25,1594.78
NTPC.NS,2024-07-26,369.88,2024-09-06,382.2,78,28850.64,29811.6,960.9599999999991,STOP_LOSS,428.28,384.25
EICHERMOT.NS,2024-08-16,4636.71,2024-09-06,4691.67,9,41730.39,42225.03,494.6399999999994,STOP_LOSS,5048.47,4783.4
INFY.NS,2024-08-16,1745.97,2024-09-06,1826.39,25,43649.25,45659.75,2010.5,STOP_LOSS,1919.24,1827.08
M&M.NS,2024-08-16,2738.98,2024-09-06,2676.6,16,43823.68,42825.6,-998.0800000000017,STOP_LOSS,2975.48,2699.56
WIPRO.NS,2024-08-16,242.78,2024-09-06,250.3,182,44185.96,45554.6,1368.6399999999994,STOP_LOSS,268.67,251.51
KOTAKBANK.NS,2024-08-23,1787.73,2024-09-06,1762.12,18,32179.14,31718.159999999996,-460.9800000000032,STOP_LOSS,1872.26,1773.64
VBL.NS,2024-08-23,609.36,2024-09-06,595.6,55,33514.8,32758.0,-756.8000000000029,STOP_LOSS,674.4,598.52
DRREDDY.NS,2024-08-30,1374.57,2024-09-06,1325.03,16,21993.12,21200.48,-792.6399999999994,STOP_LOSS,1443.09,1363.14
