NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-06 19:04:20

BUY SIGNALS (841):
  BLUESTONE.NS    | Price:  555.15 | Entry:  544.05 | Target:  645.61 | Risk: LOW       
  WABAG.NS        | Price: 1600.40 | Entry: 1568.39 | Target: 1829.44 | Risk: LOW       
  MARKSANS.NS     | Price:  233.19 | Entry:  228.53 | Target:  297.32 | Risk: LOW       
  BBOX.NS         | Price: 1072.90 | Entry: 1051.44 | Target: 1302.49 | Risk: LOW       
  POWERMECH.NS    | Price: 2601.80 | Entry: 2549.76 | Target: 3069.44 | Risk: LOW       
  SOUTHBANK.NS    | Price:   44.00 | Entry:   43.12 | Target:   50.37 | Risk: LOW       
  SAREGAMA.NS     | Price:  476.20 | Entry:  466.68 | Target:  583.29 | Risk: LOW       
  PCJEWELLER.NS   | Price:    9.18 | Entry:     9.0 | Target:   11.16 | Risk: LOW       
  CORONA.NS       | Price: 1725.00 | Entry:  1690.5 | Target: 1994.86 | Risk: LOW       
  MANORAMA.NS     | Price: 1476.10 | Entry: 1446.58 | Target: 1723.53 | Risk: LOW       
  ARVIND.NS       | Price:  493.70 | Entry:  483.83 | Target:  587.24 | Risk: LOW       
  APOLLO.NS       | Price:  421.35 | Entry:  412.92 | Target:  564.12 | Risk: LOW       
  WEWORK.NS       | Price:  641.05 | Entry:  628.23 | Target:  805.48 | Risk: LOW       
  VOLTAMP.NS      | Price: 9884.50 | Entry: 9686.81 | Target: 11300.39 | Risk: LOW       
  GPPL.NS         | Price:  155.74 | Entry:  152.63 | Target:  177.28 | Risk: LOW       
  OSWALPUMPS.NS   | Price:  412.70 | Entry:  404.45 | Target:  489.54 | Risk: LOW       
  DODLA.NS        | Price: 1097.20 | Entry: 1075.26 | Target: 1240.38 | Risk: LOW       
  NETWORK18.NS    | Price:   33.41 | Entry:   32.74 | Target:   39.64 | Risk: LOW       
  DIACABS.NS      | Price:  203.60 | Entry:  199.53 | Target:  257.77 | Risk: LOW       
  GRWRHITECH.NS   | Price: 5893.00 | Entry: 5775.14 | Target: 7383.25 | Risk: LOW       
  BORORENEW.NS    | Price:  524.30 | Entry:  513.81 | Target:  626.07 | Risk: LOW       
  GARFIBRES.NS    | Price:  665.50 | Entry:  652.19 | Target:  756.61 | Risk: LOW       
  SHILPAMED.NS    | Price:  538.05 | Entry:  527.29 | Target:  655.25 | Risk: LOW       
  MAXESTATES.NS   | Price:  444.50 | Entry:  435.61 | Target:  531.63 | Risk: LOW       
