date,buy_signals,hold_signals,sell_signals,capital,unrealized_pnl,realized_pnl,total_pnl,total_value,return_percent,positions_count
2024-07-26,26,16,4,465618.43,106245.45,696606.5,802851.95,571863.88,80.29,34
2024-08-02,24,17,5,544493.2,87764.44,721781.87,809546.31,632257.64,80.95,32
2024-08-09,11,21,14,767844.64,75630.41,721487.14,797117.55,843475.05,79.71,26
2024-08-16,14,22,10,680826.45,70023.49,745094.66,815118.15,750849.94,81.51,27
2024-08-23,24,20,2,447377.82,85506.91,749169.3,834676.21,532884.73,83.47,34
2024-08-30,29,17,0,367609.12,87347.03,787712.05,875059.08,454956.15,87.51,38
2024-09-06,14,17,15,757789.09,64236.69,794740.21,858976.9,822025.78,85.9,27
2024-09-13,20,17,9,558424.92,80654.18,815211.81,895865.99,639079.1,89.59,30
2024-09-20,28,11,7,420119.96,87584.64,825703.28,913287.92,507704.6,91.33,35
2024-09-27,28,15,3,403256.22,81961.89,847110.33,929072.22,485218.11,92.91,37
2024-10-04,7,30,9,1186552.81,38301.55,838868.98,877170.53,1224854.36,87.72,15
2024-10-11,6,16,24,1321367.82,41578.43,843925.52,885503.95,1362946.25,88.55,11
2024-10-18,11,16,19,1104029.17,31003.42,851120.59,882124.01,1135032.59,88.21,12
2024-10-25,3,7,36,1441129.61,25497.64,841732.04,867229.68,1466627.25,86.72,6
2024-11-01,3,15,28,1460805.59,14267.65,851837.98,866105.63,1475073.24,86.61,5
2024-11-08,7,21,18,1175356.7,22064.74,851837.98,873902.72,1197421.44,87.39,9
2024-11-14,4,8,34,1257152.88,11583.56,849783.67,861367.23,1268736.44,86.14,8
2024-11-22,10,16,20,954662.65,35906.1,849783.67,885689.77,990568.75,88.57,13
2024-11-29,13,26,7,734833.14,35775.96,860396.03,896171.99,770609.1,89.62,18
2024-12-06,17,23,6,646447.55,68461.12,877574.33,946035.45,714908.67,94.6,21
2024-12-13,20,14,12,652866.27,76130.7,881866.05,957996.75,728996.97,95.8,22
2024-12-20,1,13,32,1543051.61,17253.27,877346.47,894599.74,1560304.88,89.46,5
2024-12-27,4,14,28,1314190.03,29252.08,877346.47,906598.55,1343442.11,90.66,8
2025-01-03,15,24,7,762629.62,38637.95,893837.98,932475.93,801267.57,93.25,16
2025-01-10,14,12,20,787817.35,27279.47,877840.45,905119.92,815096.82,90.51,16
2025-01-17,5,20,21,1137015.14,13188.03,867541.2,880729.23,1150203.17,88.07,11
2025-01-24,9,26,11,1012111.79,21591.04,863431.78,885022.82,1033702.83,88.5,13
2025-01-31,11,23,12,871324.43,35823.86,862019.18,897843.04,907148.29,89.78,16
2025-02-07,17,24,5,748563.57,41956.14,863293.2,905249.34,790519.71,90.52,18
2025-02-14,4,17,25,1184696.05,23216.31,845354.2,868570.51,1207912.36,86.86,11
2025-02-21,6,9,31,1221203.89,27582.55,843999.24,871581.79,1248786.44,87.16,10
2025-02-28,3,8,35,1497294.33,13506.53,832045.11,845551.64,1510800.86,84.56,5
2025-03-07,8,15,23,1024847.12,28512.17,839791.1,868303.27,1053359.29,86.83,11
2025-03-13,10,23,13,940306.59,21009.01,846071.66,867080.67,961315.6,86.71,13
2025-03-21,24,17,5,214044.67,57566.7,884201.14,941767.84,271611.37,94.18,24
2025-03-28,28,14,4,328775.55,62389.46,896137.9,958527.36,391165.01,95.85,28
2025-04-04,11,17,18,687209.73,37261.17,886405.56,923666.73,724470.9,92.37,22
2025-04-11,13,16,17,647224.23,57129.34,889495.21,946624.55,704353.57,94.66,24
2025-04-17,29,9,8,492537.01,91033.31,923438.32,1014471.63,583570.32,101.45,29
2025-04-25,33,13,0,390878.53,81333.6,932292.88,1013626.48,472212.13,101.36,35
2025-05-02,13,31,2,451443.11,73897.98,938940.1,1012838.08,525341.09,101.28,35
2025-05-09,12,27,7,761083.14,57601.07,945122.0,1002723.07,818684.21,100.27,29
2025-05-16,30,14,2,176419.26,99474.23,982378.56,1081852.79,275893.49,108.19,40
2025-05-23,14,27,5,294858.14,91280.56,978893.81,1070174.37,386138.7,107.02,37
2025-05-30,11,22,13,443399.43,81324.87,982741.31,1064066.18,524724.3,106.41,34
2025-06-06,10,28,8,501372.55,92046.54,987027.83,1079074.37,593419.09,107.91,33
2025-06-13,13,25,8,821397.09,66915.65,1008100.94,1075016.59,888312.74,107.5,27
2025-06-20,15,20,11,757372.45,74823.92,1009866.42,1084690.34,832196.37,108.47,28
2025-06-27,22,22,2,532527.14,80269.29,1031085.54,1111354.83,612796.43,111.14,34
2025-07-04,26,17,3,592583.08,74707.87,1041439.02,1116146.89,667290.95,111.61,33
2025-07-11,7,27,12,954750.16,46931.73,1044772.53,1091704.26,1001681.89,109.17,24
2025-07-18,11,24,11,1010273.65,52777.03,1044527.85,1097304.88,1063050.68,109.73,22
2025-07-25,6,19,21,1397482.94,14544.21,1059063.54,1073607.75,1412027.15,107.36,13
2025-08-01,5,12,29,1341765.35,17120.47,1057615.48,1074735.95,1358885.82,107.47,12
2025-08-08,7,20,19,1341207.09,11874.61,1060770.42,1072645.03,1353081.7,107.26,11
2025-08-14,14,23,9,879827.52,31726.86,1060770.42,1092497.28,911554.38,109.25,18
2025-08-22,17,28,1,747490.42,44283.9,1080806.15,1125090.05,791774.32,112.51,22
2025-08-29,9,24,13,1087415.73,36365.84,1074022.62,1110388.46,1123781.57,111.04,17
2025-09-05,14,11,21,794284.46,47310.23,1100042.38,1147352.61,841594.69,114.74,21
2025-09-12,16,26,4,639633.04,58248.38,1100196.43,1158444.81,697881.42,115.84,25
2025-09-19,24,21,1,435234.8,67033.08,1107991.52,1175024.6,502267.88,117.5,32
2025-09-26,9,11,26,1311845.41,29623.97,1094340.0,1123963.97,1341469.38,112.4,15
2025-10-03,8,18,20,1340263.42,34954.37,1100215.72,1135170.09,1375217.79,113.52,14
2025-10-10,25,20,1,424117.4,56769.67,1100215.72,1156985.39,480887.07,115.7,28
2025-10-17,29,14,3,246679.33,71373.05,1120023.92,1191396.97,318052.38,119.14,36
2025-10-24,28,14,4,400051.88,67206.11,1124091.71,1191297.82,467257.99,119.13,35
2025-10-31,19,18,9,651586.25,61737.76,1145940.38,1207678.14,713324.01,120.77,30
2025-11-07,12,16,18,877505.57,46642.89,1145975.72,1192618.61,924148.46,119.26,25
2025-11-14,15,25,6,1012357.18,46137.54,1167574.73,1213712.27,1058494.72,121.37,22
2025-11-21,20,20,6,862151.36,58278.31,1166279.45,1224557.76,920429.67,122.46,25
2025-11-28,17,22,7,797030.5,59298.93,1175985.22,1235284.15,856329.43,123.53,26
2025-12-05,20,22,4,672372.99,70782.71,1184720.25,1255502.96,743155.7,125.55,28
2025-12-12,14,22,10,806716.23,65283.72,1182939.51,1248223.23,871999.95,124.82,26
2025-12-19,17,21,8,839520.01,64126.27,1183847.74,1247974.01,903646.28,124.8,26
2025-12-26,14,24,8,859084.96,58527.55,1194221.36,1252748.91,917612.51,125.27,26
2026-01-02,20,22,4,578307.57,68815.72,1203152.49,1271968.21,647123.29,127.2,32
2026-01-09,16,20,10,1050374.3,40524.31,1206953.64,1247477.95,1090898.61,124.75,21
2026-01-12,17,18,11,1041607.99,51665.09,1206244.52,1257909.61,1093273.08,125.79,21
