NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-19 19:17:58

BUY SIGNALS (1008):
  POLYMED.NS      | Price: 1573.20 | Entry: 1541.74 | Target: 1865.84 | Risk: LOW       
  DEVYANI.NS      | Price:  115.28 | Entry:  112.97 | Target:  138.62 | Risk: LOW       
  NEULANDLAB.NS   | Price: 17220.00 | Entry: 16875.6 | Target: 19740.36 | Risk: LOW       
  CROMPTON.NS     | Price:  277.10 | Entry:  271.56 | Target:  318.71 | Risk: LOW       
  CAMS.NS         | Price:  832.80 | Entry:  816.14 | Target:  952.57 | Risk: LOW       
  KFINTECH.NS     | Price:  906.85 | Entry:  888.71 | Target: 1045.71 | Risk: LOW       
  KAJARIACER.NS   | Price: 1164.10 | Entry: 1140.82 | Target: 1301.35 | Risk: LOW       
  DEEPAKFERT.NS   | Price: 1525.70 | Entry: 1495.19 | Target: 1814.52 | Risk: LOW       
  JSWCEMENT.NS    | Price:  130.72 | Entry:  128.11 | Target:  147.59 | Risk: LOW       
  SAILIFE.NS      | Price: 1206.80 | Entry: 1182.66 | Target: 1411.94 | Risk: LOW       
  CGCL.NS         | Price:  220.81 | Entry:  216.39 | Target:  255.46 | Risk: LOW       
  GRINDWELL.NS    | Price: 2105.50 | Entry: 2063.39 | Target: 2463.29 | Risk: LOW       
  FIVESTAR.NS     | Price:  518.85 | Entry:  508.47 | Target:  618.81 | Risk: LOW       
  CARBORUNIV.NS   | Price: 1192.20 | Entry: 1168.36 | Target: 1425.02 | Risk: LOW       
  RBLBANK.NS      | Price:  369.25 | Entry:  361.87 | Target:  424.11 | Risk: LOW       
  PGEL.NS         | Price:  564.25 | Entry:  552.97 | Target:  670.70 | Risk: LOW       
  VENTIVE.NS      | Price:  650.55 | Entry:  637.54 | Target:  753.50 | Risk: LOW       
  CUB.NS          | Price:  198.35 | Entry:  194.38 | Target:  234.72 | Risk: LOW       
  NETWEB.NS       | Price: 5079.60 | Entry: 4978.01 | Target: 6541.78 | Risk: LOW       
  TBOTEK.NS       | Price: 1465.20 | Entry:  1435.9 | Target: 1770.41 | Risk: LOW       
  CONCORDBIO.NS   | Price: 1347.50 | Entry: 1320.55 | Target: 1672.64 | Risk: LOW       
  TRAVELFOOD.NS   | Price: 1332.80 | Entry: 1306.14 | Target: 1618.84 | Risk: LOW       
  SOBHA.NS        | Price: 1426.90 | Entry: 1398.36 | Target: 1643.90 | Risk: LOW       
  LMW.NS          | Price: 16720.00 | Entry: 16385.6 | Target: 18842.86 | Risk: LOW       
  GABRIEL.NS      | Price: 1141.90 | Entry: 1119.06 | Target: 1387.26 | Risk: LOW       
  CRAFTSMAN.NS    | Price: 9500.00 | Entry:  9310.0 | Target: 11183.93 | Risk: LOW       
  CHOICEIN.NS     | Price:  707.55 | Entry:   693.4 | Target:  797.59 | Risk: LOW       
  APTUS.NS        | Price:  272.75 | Entry:   267.3 | Target:  316.11 | Risk: LOW       
  ABDL.NS         | Price:  632.80 | Entry:  620.14 | Target:  748.60 | Risk: LOW       
  CAPLIPOINT.NS   | Price: 2359.40 | Entry: 2312.21 | Target: 2811.86 | Risk: LOW       
  DATAPATTNS.NS   | Price: 4802.10 | Entry: 4706.06 | Target: 6119.24 | Risk: LOW       
  DOMS.NS         | Price: 2337.30 | Entry: 2290.55 | Target: 2742.84 | Risk: LOW       
  KIRLOSBROS.NS   | Price: 1903.20 | Entry: 1865.14 | Target: 2218.77 | Risk: LOW       
  JBMA.NS         | Price:  706.50 | Entry:  692.37 | Target:  855.30 | Risk: LOW       
  RRKABEL.NS      | Price: 2296.20 | Entry: 2250.28 | Target: 2790.90 | Risk: LOW       
  NIVABUPA.NS     | Price:   87.09 | Entry:   85.35 | Target:  100.09 | Risk: LOW       
  INDIAMART.NS    | Price: 2077.70 | Entry: 2036.15 | Target: 2288.05 | Risk: LOW       
  PARADEEP.NS     | Price:  134.25 | Entry:  131.56 | Target:  156.55 | Risk: LOW       
  CEATLTD.NS      | Price: 3486.70 | Entry: 3416.97 | Target: 3946.84 | Risk: LOW       
  TRIDENT.NS      | Price:   25.97 | Entry:   25.45 | Target:   29.26 | Risk: LOW       
  RAINBOW.NS      | Price: 1450.00 | Entry:  1421.0 | Target: 1633.25 | Risk: LOW       
  INTELLECT.NS    | Price:  757.30 | Entry:  742.15 | Target:  887.89 | Risk: LOW       
  SYRMA.NS        | Price: 1346.80 | Entry: 1319.86 | Target: 1605.55 | Risk: LOW       
  FINEORG.NS      | Price: 5150.90 | Entry: 5047.88 | Target: 5896.58 | Risk: LOW       
  BATAINDIA.NS    | Price:  789.90 | Entry:   774.1 | Target:  919.74 | Risk: LOW       
  KIRLOSENG.NS    | Price: 1983.50 | Entry: 1943.83 | Target: 2383.46 | Risk: LOW       
  AARTIIND.NS     | Price:  486.45 | Entry:  476.72 | Target:  575.91 | Risk: LOW       
  THELEELA.NS     | Price:  457.60 | Entry:  448.45 | Target:  535.37 | Risk: LOW       
  EMMVEE.NS       | Price:  333.70 | Entry:  327.03 | Target:  417.47 | Risk: LOW       
  KSB.NS          | Price:  878.15 | Entry:  860.59 | Target: 1018.15 | Risk: LOW       
  PCBL.NS         | Price:  306.25 | Entry:  300.12 | Target:  359.98 | Risk: LOW       
  CEMPRO.NS       | Price: 1192.40 | Entry: 1168.55 | Target: 1517.22 | Risk: LOW       
  ZENTEC.NS       | Price: 1929.40 | Entry: 1890.81 | Target: 2362.90 | Risk: LOW       
  BBTC.NS         | Price: 1527.40 | Entry: 1496.85 | Target: 1727.97 | Risk: LOW       
  AAVAS.NS        | Price: 1467.60 | Entry: 1438.25 | Target: 1704.06 | Risk: LOW       
  BELRISE.NS      | Price:  239.24 | Entry:  234.46 | Target:  282.94 | Risk: LOW       
  TARIL.NS        | Price:  324.85 | Entry:  318.35 | Target:  384.64 | Risk: LOW       
  GRAVITA.NS      | Price: 1726.40 | Entry: 1691.87 | Target: 1983.54 | Risk: LOW       
  HOMEFIRST.NS    | Price: 1146.10 | Entry: 1123.18 | Target: 1317.67 | Risk: LOW       
  MGL.NS          | Price: 1210.70 | Entry: 1186.49 | Target: 1387.02 | Risk: LOW       
  VTL.NS          | Price:  661.40 | Entry:  648.17 | Target:  790.13 | Risk: LOW       
  FINCABLES.NS    | Price: 1158.60 | Entry: 1135.43 | Target: 1449.60 | Risk: LOW       
  SKFINDUS.NS     | Price: 2495.70 | Entry: 2445.79 | Target: 3023.59 | Risk: LOW       
  ACE.NS          | Price:  976.45 | Entry:  956.92 | Target: 1128.88 | Risk: LOW       
  ELECON.NS       | Price:  535.00 | Entry:   524.3 | Target:  647.32 | Risk: LOW       
  EMBDL.NS        | Price:   63.74 | Entry:   62.47 | Target:   81.01 | Risk: LOW       
  JINDALSAW.NS    | Price:  264.06 | Entry:  258.78 | Target:  327.54 | Risk: LOW       
  WELSPUNLIV.NS   | Price:  163.00 | Entry:  159.74 | Target:  190.99 | Risk: LOW       
  CCL.NS          | Price: 1132.40 | Entry: 1109.75 | Target: 1369.61 | Risk: LOW       
  FINPIPE.NS      | Price:  177.21 | Entry:  173.67 | Target:  203.00 | Risk: LOW       
  INGERRAND.NS    | Price: 4714.10 | Entry: 4619.82 | Target: 5535.99 | Risk: LOW       
  BLUEJET.NS      | Price:  510.90 | Entry:  500.68 | Target:  626.63 | Risk: LOW       
  CARTRADE.NS     | Price: 2585.00 | Entry:  2533.3 | Target: 3351.39 | Risk: LOW       
  CANHLIFE.NS     | Price:  141.75 | Entry:  138.91 | Target:  164.09 | Risk: LOW       
  RAILTEL.NS      | Price:  322.70 | Entry:  316.25 | Target:  375.95 | Risk: LOW       
  TITAGARH.NS     | Price:  932.60 | Entry:  913.95 | Target: 1108.08 | Risk: LOW       
  SHRIPISTON.NS   | Price: 3807.20 | Entry: 3731.06 | Target: 4473.49 | Risk: LOW       
  ENGINERSIN.NS   | Price:  253.15 | Entry:  248.09 | Target:  303.48 | Risk: LOW       
  J&KBANK.NS      | Price:  162.90 | Entry:  159.64 | Target:  190.11 | Risk: LOW       
  OLECTRA.NS      | Price: 1446.60 | Entry: 1417.67 | Target: 1790.92 | Risk: LOW       
  SANOFI.NS       | Price: 3370.50 | Entry: 3303.09 | Target: 3779.86 | Risk: LOW       
  SANOFICONR.NS   | Price: 4873.60 | Entry: 4776.13 | Target: 5507.56 | Risk: LOW       
  RELAXO.NS       | Price:  367.85 | Entry:  360.49 | Target:  454.42 | Risk: LOW       
  PRUDENT.NS      | Price: 2954.70 | Entry: 2895.61 | Target: 3495.74 | Risk: LOW       
  TTML.NS         | Price:   44.89 | Entry:   43.99 | Target:   55.97 | Risk: LOW       
  CANFINHOME.NS   | Price:  883.70 | Entry:  866.03 | Target:  991.02 | Risk: LOW       
  ZEEL.NS         | Price:  111.78 | Entry:  109.54 | Target:  146.20 | Risk: LOW       
  SAFARI.NS       | Price: 1660.00 | Entry:  1626.8 | Target: 2047.93 | Risk: LOW       
  INOXINDIA.NS    | Price: 1812.40 | Entry: 1776.15 | Target: 2381.83 | Risk: LOW       
  HFCL.NS         | Price:  199.63 | Entry:  195.64 | Target:  251.76 | Risk: LOW       
  SCI.NS          | Price:  309.25 | Entry:  303.06 | Target:  374.14 | Risk: LOW       
  PRIVISCL.NS     | Price: 3463.60 | Entry: 3394.33 | Target: 3972.28 | Risk: LOW       
  SONATSOFTW.NS   | Price:  309.00 | Entry:  302.82 | Target:  383.80 | Risk: LOW       
  EDELWEISS.NS    | Price:  121.34 | Entry:  118.91 | Target:  143.83 | Risk: LOW       
  NAZARA.NS       | Price:  301.00 | Entry:  294.98 | Target:  350.45 | Risk: LOW       
  IXIGO.NS        | Price:  188.90 | Entry:  185.12 | Target:  228.47 | Risk: LOW       
  BALRAMCHIN.NS   | Price:  554.15 | Entry:  543.07 | Target:  648.92 | Risk: LOW       
  RKFORGE.NS      | Price:  589.20 | Entry:  577.42 | Target:  685.45 | Risk: LOW       
  GENUSPOWER.NS   | Price:  325.50 | Entry:  318.99 | Target:  384.39 | Risk: LOW       
  RELINFRA.NS     | Price:   81.55 | Entry:   79.92 | Target:   90.85 | Risk: LOW       
  PGHL.NS         | Price: 6310.50 | Entry: 6184.29 | Target: 6914.43 | Risk: LOW       
  BANCOINDIA.NS   | Price:  666.05 | Entry:  652.73 | Target:  809.55 | Risk: LOW       
  IIFLCAPS.NS     | Price:  348.35 | Entry:  341.38 | Target:  374.06 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  463.25 | Entry:  453.99 | Target:  527.39 | Risk: LOW       
  SHAKTIPUMP.NS   | Price:  543.05 | Entry:  532.19 | Target:  639.34 | Risk: LOW       
  MMTC.NS         | Price:   74.95 | Entry:   73.45 | Target:   94.49 | Risk: LOW       
