date,buy_signals,hold_signals,sell_signals,capital,unrealized_pnl,realized_pnl,total_pnl,total_value,return_percent,positions_count
2020-09-04,12,22,11,698358.32,45494.25,688370.81,733865.06,743852.57,73.39,28
2020-09-11,22,11,12,602509.7,47822.49,698027.42,745849.91,650332.19,74.58,29
2020-09-18,19,12,14,455704.58,50033.91,736924.12,786958.03,505738.49,78.7,31
2020-09-25,5,15,25,1170696.31,14345.1,709085.93,723431.03,1185041.41,72.34,12
2020-10-01,10,21,14,810539.62,24965.5,726720.77,751686.27,835505.12,75.17,16
2020-10-09,25,12,8,192186.31,60969.76,773504.07,834473.83,253156.07,83.45,27
2020-10-16,15,16,14,289730.65,50895.48,766270.29,817165.77,340626.13,81.72,26
2020-10-23,13,25,7,382414.19,64699.82,761151.43,825851.25,447114.01,82.59,26
2020-10-30,10,19,16,797460.41,43753.51,755041.9,798795.41,841213.92,79.88,19
2020-11-06,23,20,2,419661.29,64531.88,780408.12,844940.0,484193.17,84.49,27
2020-11-13,35,10,0,8395.92,70927.66,834004.13,904931.79,79323.58,90.49,37
2020-11-20,28,12,5,147769.02,81707.35,863167.42,944874.77,229476.37,94.49,41
2020-11-27,28,15,2,381036.01,88982.83,902273.4,991256.23,470018.84,99.13,39
2020-12-04,39,6,0,188164.75,103257.36,975962.64,1079220.0,291422.11,107.92,43
2020-12-11,36,9,0,278171.79,118568.54,995164.61,1113733.15,396740.33,111.37,44
2020-12-18,30,15,0,300952.73,142570.47,1001074.38,1143644.85,443523.2,114.36,44
2020-12-24,23,22,0,388147.46,120271.3,1021408.96,1141680.26,508418.76,114.17,43
2021-01-01,25,20,0,491519.54,130418.95,1051023.78,1181442.73,621938.49,118.14,43
2021-01-08,37,7,1,187513.98,145707.34,1129998.11,1275705.45,333221.32,127.57,42
2021-01-15,26,17,2,567387.63,119876.25,1161917.84,1281794.09,687263.88,128.18,35
2021-01-22,9,29,7,1021922.79,78415.65,1176181.48,1254597.13,1100338.44,125.46,24
2021-01-29,4,20,21,1456957.49,25690.8,1181576.87,1207267.67,1482648.29,120.73,14
2021-02-05,27,10,8,10877.77,88077.73,1245618.3,1333696.03,98955.5,133.37,27
2021-02-12,30,13,2,117529.36,94950.57,1257062.19,1352012.76,212479.93,135.2,35
2021-02-19,11,22,12,490260.51,54621.67,1310121.05,1364742.72,544882.18,136.47,34
2021-02-26,9,15,21,1210420.08,29285.49,1301146.09,1330431.58,1239705.57,133.04,21
2021-03-05,16,28,1,938166.32,50988.6,1320138.48,1371127.08,989154.92,137.11,22
2021-03-12,25,18,2,615784.09,64667.02,1320138.48,1384805.5,680451.11,138.48,29
2021-03-19,8,19,18,870248.89,41098.58,1304764.14,1345862.72,911347.47,134.59,26
2021-03-26,9,13,23,1151144.51,37454.25,1293316.89,1330771.14,1188598.76,133.08,20
2021-04-01,24,14,7,602175.98,72136.32,1348598.43,1420734.75,674312.3,142.07,25
2021-04-09,25,17,3,560389.83,100581.63,1402829.87,1503411.5,660971.46,150.34,29
2021-04-16,16,13,16,844372.31,67696.42,1414693.93,1482390.35,912068.73,148.24,26
2021-04-23,8,9,28,1513625.17,46300.36,1396683.36,1442983.72,1559925.53,144.3,14
2021-04-30,11,18,16,1340044.44,55338.64,1451627.89,1506966.53,1395383.08,150.7,14
2021-05-07,20,20,5,719205.24,86861.64,1479148.06,1566009.7,806066.88,156.6,22
2021-05-14,16,21,8,678957.25,61806.06,1497960.99,1559767.05,740763.31,155.98,26
2021-05-21,20,20,5,559647.22,77576.88,1516649.13,1594226.01,637224.1,159.42,31
2021-05-28,29,13,3,315857.81,88879.5,1543893.35,1632772.85,404737.31,163.28,40
2021-06-04,31,14,0,535379.62,98665.25,1598531.62,1697196.87,634044.87,169.72,39
2021-06-11,32,13,0,365390.07,104402.18,1644625.24,1749027.42,469792.25,174.9,43
2021-06-18,15,26,4,852874.86,61731.01,1646669.02,1708400.03,914605.87,170.84,34
2021-06-25,18,24,3,950697.66,69397.87,1661397.58,1730795.45,1020095.53,173.08,32
2021-07-02,15,26,4,916772.23,55141.47,1666031.59,1721173.06,971913.7,172.12,32
2021-07-09,8,28,9,909718.12,54359.55,1672433.33,1726792.88,964077.67,172.68,32
2021-07-16,20,15,10,515337.82,52678.52,1723626.79,1776305.31,568016.34,177.63,33
2021-07-23,22,13,10,877744.56,62411.67,1729336.2,1791747.87,940156.23,179.17,27
2021-07-30,15,12,18,1175807.54,58973.16,1773285.29,1832258.45,1234780.7,183.23,21
2021-08-06,22,17,6,816127.03,81460.87,1796798.51,1878259.38,897587.9,187.83,26
2021-08-13,22,17,6,677184.41,88413.9,1831046.12,1919460.02,765598.31,191.95,30
2021-08-20,18,11,16,1120255.83,67797.85,1846126.78,1913924.63,1188053.68,191.39,24
2021-08-27,18,15,12,1031446.21,70976.51,1887053.4,1958029.91,1102422.72,195.8,26
2021-09-03,34,10,1,174745.65,123161.14,1945204.05,2068365.19,297906.79,206.84,37
2021-09-09,32,12,1,296423.08,131294.24,1941704.01,2072998.25,427717.32,207.3,36
2021-09-17,20,24,1,530926.07,120435.84,2006667.66,2127103.5,651361.91,212.71,37
2021-09-24,28,12,5,472353.07,109173.55,2087263.24,2196436.79,581526.62,219.64,37
2021-10-01,21,18,6,891762.64,77820.53,2131800.93,2209621.46,969583.17,220.96,26
2021-10-08,16,25,4,895709.34,70989.6,2178671.24,2249660.84,966698.94,224.97,27
2021-10-14,30,11,4,15069.73,119692.01,2248282.12,2367974.13,134761.74,236.8,34
2021-10-22,18,12,15,928733.92,73743.08,2231005.36,2304748.44,1002477.0,230.47,26
2021-10-29,3,19,23,1677666.09,42156.07,2201209.02,2243365.09,1719822.16,224.34,17
2021-11-04,9,28,8,1650561.01,68455.95,2222159.69,2290615.64,1719016.96,229.06,17
2021-11-12,21,19,5,1074585.36,115302.43,2232375.57,2347678.0,1189887.79,234.77,23
2021-11-18,13,17,15,1316535.89,66861.93,2253150.59,2320012.52,1383397.82,232.0,21
2021-11-26,3,7,35,2260167.56,8878.29,2237830.1,2246708.39,2269045.85,224.67,10
2021-12-03,5,18,22,2499835.73,26821.2,2219786.43,2246607.63,2526656.93,224.66,7
