NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-01 20:19:45

BUY SIGNALS (941):
  JKTYRE.NS       | Price:  408.00 | Entry:  399.84 | Target:  472.66 | Risk: LOW       
  ZEEL.NS         | Price:   93.11 | Entry:   91.25 | Target:  113.23 | Risk: LOW       
  INOXINDIA.NS    | Price: 1493.60 | Entry: 1463.73 | Target: 1812.78 | Risk: LOW       
  HFCL.NS         | Price:  179.94 | Entry:  176.34 | Target:  227.49 | Risk: LOW       
  RUBICON.NS      | Price: 1005.60 | Entry:  985.49 | Target: 1186.05 | Risk: LOW       
  VIJAYA.NS       | Price: 1308.50 | Entry: 1282.33 | Target: 1605.36 | Risk: LOW       
  PRIVISCL.NS     | Price: 3255.20 | Entry:  3190.1 | Target: 3924.95 | Risk: LOW       
  NAZARA.NS       | Price:  277.75 | Entry:  272.19 | Target:  339.84 | Risk: LOW       
  METROPOLIS.NS   | Price:  555.35 | Entry:  544.24 | Target:  673.12 | Risk: LOW       
  PGHL.NS         | Price: 6056.00 | Entry: 5934.88 | Target: 7226.36 | Risk: LOW       
  TEJASNET.NS     | Price:  520.40 | Entry:  509.99 | Target:  645.53 | Risk: LOW       
  SHAILY.NS       | Price: 2989.50 | Entry: 2929.71 | Target: 3776.75 | Risk: LOW       
  BANCOINDIA.NS   | Price:  656.25 | Entry:  643.12 | Target:  767.29 | Risk: LOW       
  ABFRL.NS        | Price:   64.61 | Entry:   63.32 | Target:   76.49 | Risk: LOW       
  MMTC.NS         | Price:   64.88 | Entry:   63.58 | Target:   76.05 | Risk: LOW       
  SUDARSCHEM.NS   | Price:  938.00 | Entry:  919.24 | Target: 1199.18 | Risk: LOW       
  RHIM.NS         | Price:  406.60 | Entry:  398.47 | Target:  489.49 | Risk: LOW       
  ASTRAMICRO.NS   | Price: 1401.70 | Entry: 1373.67 | Target: 1672.09 | Risk: LOW       
  SAPPHIRE.NS     | Price:  180.95 | Entry:  177.33 | Target:  216.30 | Risk: LOW       
  HONASA.NS       | Price:  406.40 | Entry:  398.27 | Target:  484.10 | Risk: LOW       
