NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-05-16 18:59:16

BUY SIGNALS (820):
  JUBLPHARMA.NS   | Price:  990.15 | Entry:  970.35 | Target: 1133.28 | Risk: LOW       
  TRITURBINE.NS   | Price:  606.95 | Entry:  594.81 | Target:  716.74 | Risk: LOW       
  CARBORUNIV.NS   | Price: 1102.40 | Entry: 1080.35 | Target: 1297.19 | Risk: LOW       
  RATNAMANI.NS    | Price: 2693.40 | Entry: 2639.53 | Target: 3494.94 | Risk: LOW       
  VENTIVE.NS      | Price:  653.20 | Entry:  640.14 | Target:  771.36 | Risk: LOW       
  MANYAVAR.NS     | Price:  439.80 | Entry:   431.0 | Target:  520.80 | Risk: LOW       
  ABLBL.NS        | Price:  104.08 | Entry:   102.0 | Target:  129.48 | Risk: LOW       
  CPPLUS.NS       | Price: 2464.30 | Entry: 2415.01 | Target: 2998.66 | Risk: LOW       
  GABRIEL.NS      | Price: 1091.00 | Entry: 1069.18 | Target: 1284.86 | Risk: LOW       
  CRAFTSMAN.NS    | Price: 8462.50 | Entry: 8293.25 | Target: 10461.07 | Risk: LOW       
  NATCOPHARM.NS   | Price: 1199.10 | Entry: 1175.12 | Target: 1389.08 | Risk: LOW       
  APTUS.NS        | Price:  264.45 | Entry:  259.16 | Target:  316.45 | Risk: LOW       
  ABDL.NS         | Price:  555.35 | Entry:  544.24 | Target:  668.96 | Risk: LOW       
  CAPLIPOINT.NS   | Price: 1998.80 | Entry: 1958.82 | Target: 2347.26 | Risk: LOW       
  AGARWALEYE.NS   | Price:  450.10 | Entry:   441.1 | Target:  510.46 | Risk: LOW       
  JBMA.NS         | Price:  641.60 | Entry:  628.77 | Target:  769.89 | Risk: LOW       
  RRKABEL.NS      | Price: 1953.80 | Entry: 1914.72 | Target: 2463.91 | Risk: LOW       
  IFCI.NS         | Price:   63.29 | Entry:   62.02 | Target:   76.33 | Risk: LOW       
  NIVABUPA.NS     | Price:   79.83 | Entry:   78.23 | Target:   93.71 | Risk: LOW       
  RAINBOW.NS      | Price: 1336.20 | Entry: 1309.48 | Target: 1509.88 | Risk: LOW       
  SYRMA.NS        | Price: 1013.25 | Entry:  992.99 | Target: 1268.05 | Risk: LOW       
  NUVOCO.NS       | Price:  326.80 | Entry:  320.26 | Target:  385.37 | Risk: LOW       
  KIRLOSENG.NS    | Price: 1740.20 | Entry:  1705.4 | Target: 2106.77 | Risk: LOW       
  CEMPRO.NS       | Price:  899.55 | Entry:  881.56 | Target: 1186.75 | Risk: LOW       
  JAINREC.NS      | Price:  566.15 | Entry:  554.83 | Target:  722.88 | Risk: LOW       
  IEX.NS          | Price:  125.27 | Entry:  122.76 | Target:  139.95 | Risk: LOW       
  BBTC.NS         | Price: 1522.80 | Entry: 1492.34 | Target: 1741.30 | Risk: LOW       
  INDGN.NS        | Price:  516.10 | Entry:  505.78 | Target:  606.40 | Risk: LOW       
  ANURAS.NS       | Price: 1376.00 | Entry: 1348.48 | Target: 1574.64 | Risk: LOW       
  GRANULES.NS     | Price:  736.20 | Entry:  721.48 | Target:  849.36 | Risk: LOW       
  GRAVITA.NS      | Price: 1688.10 | Entry: 1654.34 | Target: 2046.31 | Risk: LOW       
  USHAMART.NS     | Price:  472.95 | Entry:  463.49 | Target:  561.70 | Risk: LOW       
  FINCABLES.NS    | Price: 1050.90 | Entry: 1029.88 | Target: 1285.61 | Risk: LOW       
  EMBDL.NS        | Price:   70.24 | Entry:   68.84 | Target:   97.63 | Risk: LOW       
  JINDALSAW.NS    | Price:  229.09 | Entry:  224.51 | Target:  278.64 | Risk: LOW       
  WELSPUNLIV.NS   | Price:  141.02 | Entry:   138.2 | Target:  163.71 | Risk: LOW       
  NSLNISP.NS      | Price:   43.80 | Entry:   42.92 | Target:   51.81 | Risk: LOW       
  ACUTAAS.NS      | Price: 2731.00 | Entry: 2676.38 | Target: 3280.50 | Risk: LOW       
  INDIACEM.NS     | Price:  400.15 | Entry:  392.15 | Target:  461.29 | Risk: LOW       
  CARTRADE.NS     | Price: 1824.80 | Entry:  1788.3 | Target: 2320.59 | Risk: LOW       
  J&KBANK.NS      | Price:  130.70 | Entry:  128.09 | Target:  157.86 | Risk: LOW       
  JUBLINGREA.NS   | Price:  731.80 | Entry:  717.16 | Target:  853.37 | Risk: LOW       
  SANOFICONR.NS   | Price: 4868.40 | Entry: 4771.03 | Target: 5847.08 | Risk: LOW       
  EUREKAFORB.NS   | Price:  511.80 | Entry:  501.56 | Target:  608.16 | Risk: LOW       
  GRAPHITE.NS     | Price:  774.45 | Entry:  758.96 | Target:  922.22 | Risk: LOW       
  HFCL.NS         | Price:  147.89 | Entry:  144.93 | Target:  191.37 | Risk: LOW       
  SCI.NS          | Price:  331.40 | Entry:  324.77 | Target:  422.05 | Risk: LOW       
  JKLAKSHMI.NS    | Price:  653.70 | Entry:  640.63 | Target:  742.22 | Risk: LOW       
  VIJAYA.NS       | Price: 1329.20 | Entry: 1302.62 | Target: 1593.84 | Risk: LOW       
  SONATSOFTW.NS   | Price:  265.75 | Entry:  260.44 | Target:  329.06 | Risk: LOW       
  NAZARA.NS       | Price:  299.95 | Entry:  293.95 | Target:  355.82 | Risk: LOW       
  METROPOLIS.NS   | Price:  528.85 | Entry:  518.27 | Target:  653.80 | Risk: LOW       
  BALRAMCHIN.NS   | Price:  539.60 | Entry:  528.81 | Target:  626.80 | Risk: LOW       
  HEG.NS          | Price:  624.60 | Entry:  612.11 | Target:  765.99 | Risk: LOW       
  PGHL.NS         | Price: 5300.00 | Entry:  5194.0 | Target: 5908.61 | Risk: LOW       
  ALKYLAMINE.NS   | Price: 1722.60 | Entry: 1688.15 | Target: 2151.03 | Risk: LOW       
  TEJASNET.NS     | Price:  445.75 | Entry:  436.83 | Target:  607.46 | Risk: LOW       
  SHAILY.NS       | Price: 2768.30 | Entry: 2712.93 | Target: 3360.01 | Risk: LOW       
  IIFLCAPS.NS     | Price:  342.95 | Entry:  336.09 | Target:  402.64 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  458.95 | Entry:  449.77 | Target:  539.41 | Risk: LOW       
  MEDPLUS.NS      | Price:  951.00 | Entry:  931.98 | Target: 1093.52 | Risk: LOW       
  AEQUS.NS        | Price:  202.52 | Entry:  198.47 | Target:  269.62 | Risk: LOW       
  JLHL.NS         | Price: 1326.50 | Entry: 1299.97 | Target: 1542.71 | Risk: LOW       
  INDIASHLTR.NS   | Price:  826.55 | Entry:  810.02 | Target:  936.53 | Risk: LOW       
  TDPOWERSYS.NS   | Price: 1311.30 | Entry: 1285.07 | Target: 1639.23 | Risk: LOW       
  BIRLACORPN.NS   | Price: 1018.65 | Entry:  998.28 | Target: 1205.10 | Risk: LOW       
  MAPMYINDIA.NS   | Price: 1014.10 | Entry:  993.82 | Target: 1243.76 | Risk: LOW       
  HCG.NS          | Price:  637.20 | Entry:  624.46 | Target:  749.13 | Risk: LOW       
  HAPPYFORGE.NS   | Price: 1386.60 | Entry: 1358.87 | Target: 1632.14 | Risk: LOW       
  HONASA.NS       | Price:  354.00 | Entry:  346.92 | Target:  403.23 | Risk: LOW       
  VARROC.NS       | Price:  557.85 | Entry:  546.69 | Target:  641.03 | Risk: LOW       
  LATENTVIEW.NS   | Price:  307.25 | Entry:  301.11 | Target:  363.04 | Risk: LOW       
  LLOYDSENT.NS    | Price:   70.50 | Entry:   69.09 | Target:   85.17 | Risk: LOW       
  SANDUMA.NS      | Price:  224.24 | Entry:  219.76 | Target:  277.38 | Risk: LOW       
  TTKPRESTIG.NS   | Price:  526.05 | Entry:  515.53 | Target:  646.16 | Risk: LOW       
  DBREALTY.NS     | Price:  117.72 | Entry:  115.37 | Target:  160.56 | Risk: LOW       
  MARKSANS.NS     | Price:  207.45 | Entry:   203.3 | Target:  252.96 | Risk: LOW       
  BBOX.NS         | Price:  878.75 | Entry:  861.17 | Target: 1099.52 | Risk: LOW       
  SAREGAMA.NS     | Price:  415.75 | Entry:  407.44 | Target:  508.05 | Risk: LOW       
  CORONA.NS       | Price: 1777.30 | Entry: 1741.75 | Target: 2229.55 | Risk: LOW       
  ARVIND.NS       | Price:  451.10 | Entry:  442.08 | Target:  547.67 | Risk: LOW       
  GMRP&UI.NS      | Price:  113.90 | Entry:  111.62 | Target:  133.22 | Risk: LOW       
  ESABINDIA.NS    | Price: 6587.50 | Entry: 6455.75 | Target: 7965.07 | Risk: LOW       
  STAR.NS         | Price: 1153.70 | Entry: 1130.63 | Target: 1361.70 | Risk: LOW       
  DIACABS.NS      | Price:  196.45 | Entry:  192.52 | Target:  247.25 | Risk: LOW       
  GRWRHITECH.NS   | Price: 5403.40 | Entry: 5295.33 | Target: 6976.72 | Risk: LOW       
  CERA.NS         | Price: 5635.50 | Entry: 5522.79 | Target: 6623.96 | Risk: LOW       
  KIRLPNU.NS      | Price: 1541.40 | Entry: 1510.57 | Target: 1909.04 | Risk: LOW       
  KALPATARU.NS    | Price:  330.95 | Entry:  324.33 | Target:  440.31 | Risk: LOW       
  GARFIBRES.NS    | Price:  628.45 | Entry:  615.88 | Target:  741.72 | Risk: LOW       
  SHILPAMED.NS    | Price:  478.40 | Entry:  468.83 | Target:  585.61 | Risk: LOW       
  MAXESTATES.NS   | Price:  404.90 | Entry:   396.8 | Target:  477.61 | Risk: LOW       
  GNFC.NS         | Price:  514.35 | Entry:  504.06 | Target:  586.92 | Risk: LOW       
  RUSTOMJEE.NS    | Price:  406.10 | Entry:  397.98 | Target:  492.51 | Risk: LOW       
  PNCINFRA.NS     | Price:  217.64 | Entry:  213.29 | Target:  246.84 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   70.59 | Entry:   69.18 | Target:   87.95 | Risk: LOW       
  SFL.NS          | Price:  604.95 | Entry:  592.85 | Target:  730.04 | Risk: LOW       
  V2RETAIL.NS     | Price:  228.24 | Entry:  223.68 | Target:  278.92 | Risk: LOW       
  GANESHHOU.NS    | Price:  685.50 | Entry:  671.79 | Target:  840.14 | Risk: LOW       
  RATEGAIN.NS     | Price:  625.35 | Entry:  612.84 | Target:  762.12 | Risk: LOW       
  MIDHANI.NS      | Price:  408.05 | Entry:  399.89 | Target:  500.41 | Risk: LOW       
  THYROCARE.NS    | Price:  462.15 | Entry:  452.91 | Target:  564.40 | Risk: LOW       
  EQUITASBNK.NS   | Price:   67.96 | Entry:    66.6 | Target:   81.24 | Risk: LOW       
  ELLEN.NS        | Price:  275.40 | Entry:  269.89 | Target:  355.88 | Risk: LOW       
  CMSINFO.NS      | Price:  302.95 | Entry:  296.89 | Target:  358.88 | Risk: LOW       
  PGIL.NS         | Price: 1671.60 | Entry: 1638.17 | Target: 2002.85 | Risk: LOW       
  PARKHOSPS.NS    | Price:  244.46 | Entry:  239.57 | Target:  295.93 | Risk: LOW       
  JKPAPER.NS      | Price:  381.65 | Entry:  374.02 | Target:  448.86 | Risk: LOW       
  PRICOLLTD.NS    | Price:  614.70 | Entry:  602.41 | Target:  730.20 | Risk: LOW       
  AVALON.NS       | Price: 1323.10 | Entry: 1296.64 | Target: 1715.51 | Risk: LOW       
  HNDFDS.NS       | Price:  520.15 | Entry:  509.75 | Target:  605.35 | Risk: LOW       
  AVL.NS          | Price:  552.10 | Entry:  541.06 | Target:  667.64 | Risk: LOW       
  GREENLAM.NS     | Price:  233.20 | Entry:  228.54 | Target:  283.44 | Risk: LOW       
  VMART.NS        | Price:  641.20 | Entry:  628.38 | Target:  769.88 | Risk: LOW       
  HGINFRA.NS      | Price:  604.20 | Entry:  592.12 | Target:  706.27 | Risk: LOW       
  AXISCADES.NS    | Price: 2058.30 | Entry: 2017.13 | Target: 2489.05 | Risk: LOW       
  MTARTECH.NS     | Price: 7234.00 | Entry: 7089.32 | Target: 9742.43 | Risk: LOW       
  ASHAPURMIN.NS   | Price:  638.90 | Entry:  626.12 | Target:  779.85 | Risk: LOW       
  SHARDAMOTR.NS   | Price:  873.40 | Entry:  855.93 | Target:  998.31 | Risk: LOW       
  SMARTWORKS.NS   | Price:  437.40 | Entry:  428.65 | Target:  541.11 | Risk: LOW       
  TEXRAIL.NS      | Price:  116.23 | Entry:  113.91 | Target:  145.85 | Risk: LOW       
  STLTECH.NS      | Price:  419.80 | Entry:   411.4 | Target:  517.54 | Risk: LOW       
  SENCO.NS        | Price:  334.70 | Entry:  328.01 | Target:  422.36 | Risk: LOW       
  STYL.NS         | Price:  255.58 | Entry:  250.47 | Target:  305.33 | Risk: LOW       
  ICIL.NS         | Price:  290.20 | Entry:   284.4 | Target:  349.05 | Risk: LOW       
  SHOPERSTOP.NS   | Price:  329.15 | Entry:  322.57 | Target:  418.51 | Risk: LOW       
  INDIGOPNTS.NS   | Price:  985.30 | Entry:  965.59 | Target: 1174.19 | Risk: LOW       
  RESPONIND.NS    | Price:  163.17 | Entry:  159.91 | Target:  216.72 | Risk: LOW       
  BANSALWIRE.NS   | Price:  303.95 | Entry:  297.87 | Target:  375.80 | Risk: LOW       
  LXCHEM.NS       | Price:  152.49 | Entry:  149.44 | Target:  190.15 | Risk: LOW       
  KNRCON.NS       | Price:  129.56 | Entry:  126.97 | Target:  154.27 | Risk: LOW       
  E2E.NS          | Price: 3116.70 | Entry: 3054.37 | Target: 3980.63 | Risk: LOW       
  GOKULAGRO.NS    | Price:  240.04 | Entry:  235.24 | Target:  286.05 | Risk: LOW       
  FEDFINA.NS      | Price:  151.58 | Entry:  148.55 | Target:  184.79 | Risk: LOW       
  KINGFA.NS       | Price: 5177.10 | Entry: 5073.56 | Target: 6334.96 | Risk: LOW       
  DATAMATICS.NS   | Price:  741.80 | Entry:  726.96 | Target:  888.30 | Risk: LOW       
  PTC.NS          | Price:  211.13 | Entry:  206.91 | Target:  253.70 | Risk: LOW       
