NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-10 19:33:43

BUY SIGNALS (696):
  SHAILY.NS       | Price: 3132.60 | Entry: 3069.95 | Target: 3853.96 | Risk: LOW       
  BANCOINDIA.NS   | Price:  681.45 | Entry:  667.82 | Target:  803.81 | Risk: LOW       
  MMTC.NS         | Price:   66.88 | Entry:   65.54 | Target:   78.60 | Risk: LOW       
  ASTRAMICRO.NS   | Price: 1457.70 | Entry: 1428.55 | Target: 1817.77 | Risk: LOW       
  HONASA.NS       | Price:  407.95 | Entry:  399.79 | Target:  490.63 | Risk: LOW       
  SANSERA.NS      | Price: 2961.40 | Entry: 2902.17 | Target: 3561.22 | Risk: LOW       
  BLUESTONE.NS    | Price:  528.10 | Entry:  517.54 | Target:  638.05 | Risk: LOW       
  WABAG.NS        | Price: 1586.30 | Entry: 1554.57 | Target: 1833.05 | Risk: LOW       
  TTKPRESTIG.NS   | Price:  544.05 | Entry:  533.17 | Target:  654.26 | Risk: LOW       
  TCI.NS          | Price:  974.90 | Entry:   955.4 | Target: 1092.86 | Risk: LOW       
  POWERMECH.NS    | Price: 2553.20 | Entry: 2502.14 | Target: 3038.66 | Risk: LOW       
  SOUTHBANK.NS    | Price:   45.74 | Entry:   44.83 | Target:   52.22 | Risk: LOW       
  SAREGAMA.NS     | Price:  449.30 | Entry:  440.31 | Target:  554.85 | Risk: LOW       
  CORONA.NS       | Price: 1770.90 | Entry: 1735.48 | Target: 2012.40 | Risk: LOW       
  MANORAMA.NS     | Price: 1490.80 | Entry: 1460.98 | Target: 1762.05 | Risk: LOW       
  ARVIND.NS       | Price:  500.10 | Entry:   490.1 | Target:  589.65 | Risk: LOW       
  WEWORK.NS       | Price:  647.50 | Entry:  634.55 | Target:  812.16 | Risk: LOW       
  VOLTAMP.NS      | Price: 10004.00 | Entry: 9803.92 | Target: 11567.57 | Risk: LOW       
  OSWALPUMPS.NS   | Price:  401.60 | Entry:  393.57 | Target:  483.21 | Risk: LOW       
  GRWRHITECH.NS   | Price: 6225.00 | Entry:  6100.5 | Target: 7712.32 | Risk: LOW       
